#TYPE Selected.System.ServiceProcess.ServiceController
"Name","Status"
"AeLookupSvc","Stopped"
"ALG","Stopped"
"AppIDSvc","Stopped"
"Appinfo","Running"
"AppMgmt","Stopped"
"AudioEndpointBuilder","Running"
"Audiosrv","Running"
"AxInstSV","Stopped"
"BDESVC","Stopped"
"BFE","Running"
"BITS","Running"
"Browser","Running"
"bthserv","Running"
"CertPropSvc","Running"
"clr_optimization_v2.0.50727_32","Stopped"
"COMSysApp","Stopped"
"CryptSvc","Running"
"CscService","Running"
"DcomLaunch","Running"
"defragsvc","Stopped"
"Dhcp","Running"
"Dnscache","Running"
"dot3svc","Stopped"
"DPS","Running"
"EapHost","Running"
"EFS","Stopped"
"ehRecvr","Stopped"
"ehSched","Stopped"
"eventlog","Running"
"EventSystem","Running"
"Fax","Stopped"
"fdPHost","Running"
"FDResPub","Running"
"FontCache","Stopped"
"FontCache3.0.0.0","Running"
"gpsvc","Running"
"hidserv","Stopped"
"hkmsvc","Stopped"
"HomeGroupListener","Stopped"
"HomeGroupProvider","Stopped"
"idsvc","Stopped"
"IKEEXT","Running"
"IPBusEnum","Stopped"
"iphlpsvc","Running"
"KeyIso","Running"
"KtmRm","Stopped"
"LanmanServer","Running"
"LanmanWorkstation","Running"
"lltdsvc","Stopped"
"lmhosts","Running"
"Mcx2Svc","Stopped"
"MMCSS","Running"
"MpsSvc","Running"
"MSDTC","Stopped"
"MSiSCSI","Stopped"
"msiserver","Stopped"
"napagent","Stopped"
"Net Driver HPZ12","Stopped"
"Netlogon","Running"
"Netman","Running"
"netprofm","Running"
"NetTcpPortSharing","Stopped"
"NlaSvc","Running"
"nsi","Running"
"odserv","Stopped"
"ose","Stopped"
"p2pimsvc","Stopped"
"p2psvc","Stopped"
"PcaSvc","Running"
"PeerDistSvc","Stopped"
"pla","Stopped"
"PlugPlay","Running"
"Pml Driver HPZ12","Stopped"
"PNRPAutoReg","Stopped"
"PNRPsvc","Stopped"
"PolicyAgent","Running"
"Power","Running"
"ProfSvc","Running"
"ProtectedStorage","Running"
"QWAVE","Stopped"
"RasAuto","Stopped"
"RasMan","Running"
"RemoteAccess","Stopped"
"RemoteRegistry","Stopped"
"rpcapd","Stopped"
"RpcEptMapper","Running"
"RpcLocator","Stopped"
"RpcSs","Running"
"SamSs","Running"
"SCardSvr","Stopped"
"Schedule","Running"
"SCPolicySvc","Stopped"
"SDRSVC","Stopped"
"seclogon","Stopped"
"SENS","Running"
"SensrSvc","Stopped"
"SessionEnv","Running"
"SharedAccess","Stopped"
"ShellHWDetection","Running"
"SNMPTRAP","Stopped"
"Spooler","Running"
"sppsvc","Running"
"sppuinotify","Running"
"SR_Service","Stopped"
"SR_Watchdog","Stopped"
"SSDPSRV","Running"
"SstpSvc","Running"
"StiSvc","Running"
"swprv","Stopped"
"SysMain","Running"
"TabletInputService","Stopped"
"TapiSrv","Running"
"TBS","Stopped"
"TermService","Running"
"Themes","Running"
"THREADORDER","Stopped"
"TrkWks","Running"
"TrustedInstaller","Stopped"
"UI0Detect","Stopped"
"UmRdpService","Running"
"upnphost","Stopped"
"UxSms","Running"
"VaultSvc","Stopped"
"vds","Stopped"
"VSS","Stopped"
"W32Time","Running"
"wbengine","Stopped"
"WbioSrvc","Stopped"
"wcncsvc","Running"
"WcsPlugInService","Stopped"
"WdiServiceHost","Running"
"WdiSystemHost","Stopped"
"WebClient","Stopped"
"Wecsvc","Stopped"
"wercplsupport","Stopped"
"WerSvc","Stopped"
"WinDefend","Running"
"WinHttpAutoProxySvc","Stopped"
"Winmgmt","Running"
"WinRM","Stopped"
"Wlansvc","Running"
"wmiApSrv","Stopped"
"WMPNetworkSvc","Stopped"
"WPCSvc","Stopped"
"WPDBusEnum","Running"
"wscsvc","Running"
"WSearch","Running"
"wuauserv","Running"
"wudfsvc","Running"
"WwanSvc","Stopped"
